"V1","V2"
1,357247661978.735
2,666322114445.514
3,-411581284125.087
4,-20480937208.1611
5,-312217418943.854
6,-1034378123228.47
7,-5735527787647.97
8,-12984916266400.6
9,6518735769.66869
10,-5049480187.81055
11,14685419282.7891
12,-6106355110.25373
13,-97134567776.8773
14,-4102011584.41923
15,7758535399379.3
16,-16847756713066.3
17,1133407590583.9
18,-863785021682.194
19,-870997773911.903
20,-315874967606.121
21,2080834151.80755
22,821946869393.08
23,1362757702570.56
24,-6192397869.28617
25,154884938.291708
26,505161215.700966
27,12909302807.5874
28,-165996304461.576
29,114433140681.98
30,909192745.47402
31,-22040910963.7593
32,-45012276058.5944
33,-654026291542.521
34,-73367457838.081
35,-1475020582.52112
36,37014978.2876141
37,13010966.2132702
38,-504042187.15528
39,15618496901.5523
40,-11863736267.0416
41,751195189516.945
42,566737517336.964
43,-78350507389.1369
44,5771468474224.84
45,-1705400412523.21
46,-343045846693.299
47,-24925541042.5282
48,-106678311738.745
49,-21149144876.9459
50,109511990297.658
51,-1369132067.65312
52,11884112247.5867
53,58420425053.4334
54,4302709921462.96
55,-485343583830.55
56,-1473041017.62949
57,-12659712601845.9
58,-9042791909620.35
59,62990366110019
60,-78835846679685.6
61,4568091413197.5
62,10184047325.6005
63,2940793479.96092
64,227631393869323
65,259593651799716
66,-16762550569660.7
67,-14023277005051.2
68,-22224199748298.1
69,-619051186498.43
70,-17909191367856.4
71,40442451490025.8
72,151700707689692
73,441481148801293
74,110819148497745
75,-328896047603142
76,-1125059819082448
77,-1136788286543332
78,-26421542444171476
79,-14363771061974542
80,-2239231264502.46
81,996635113165.936
82,219562162221892
83,88279137768022.1
84,16217732007104.3
85,-802352717301023
86,15427684557376.1
87,20688932183125.8
88,1257852340416.19
89,41320431.3685974
90,-78639115.2909441
91,276746012.598527
92,58823532.5455942
93,-102005026.301612
94,7563425255.85623
95,-41947981844.9061
96,606957007870.353
97,258754485866.757
98,-34190516530.9207
99,40550806024.05
100,-18386785387.3405
